zipcode,med_income,pop
6390,174971,208
10001,108340,26190
10002,38080,83116
10003,111587,55754
10004,143033,3864
10005,127020,9674
10006,139830,3923
10007,223130,11724
10009,64869,64314
10010,114233,32888
10011,125947,52321
10012,113302,23563
10013,126226,30296
10014,124852,32130
10016,114965,57098
10017,119570,17352
10018,119877,6947
10019,101154,43892
10020,39906,238
10021,128755,43236
10022,143881,33850
10023,128479,65406
10024,121097,58894
10025,83931,94531
10026,55612,35988
10027,45341,62145
10028,125280,47277
10029,36204,78806
10030,37173,26844
10031,42278,57745
10032,42177,59160
10033,48175,53505
10034,46203,39421
10035,30031,36700
10036,92567,28763
10037,39471,19211
10038,92285,23468
10039,37935,27240
10040,50675,40876
10044,101643,14368
10065,128602,31717
10069,139045,8194
10075,121203,28350
10128,108693,60883
10280,164165,5332
10282,441665,5486
10301,62632,40554
10302,61186,19479
10303,52524,27951
10304,55265,43299
10305,73345,41860
10306,81785,55618
10307,84808,14644
10308,94576,27934
10309,97669,35895
10310,64252,25257
10312,91569,59044
10314,81668,86474
10451,27088,50821
10452,26399,80234
10453,24737,84184
10454,21745,39197
10455,26575,43921
10456,25929,92390
10457,26664,75145
10458,30162,82848
10459,25334,52072
10460,26272,59798
10461,56972,50645
10462,50933,83366
10463,61450,73056
10464,93094,4457
10465,82447,43042
10466,47891,70335
10467,39152,101840
10468,37307,78426
10469,61343,68841
10470,65553,15290
10471,91980,24402
10472,33132,68437
10473,40728,61987
10474,28567,23059
10475,49005,51406
10501,154400,1483
10502,171599,5682
10504,220768,8470
10505,134497,1140
10506,208650,6024
10507,80131,6440
10509,90900,18997
10510,154278,10567
10511,101640,2458
10512,91149,25495
10514,230209,11879
10516,92483,5249
10518,181789,1299
10520,119577,13226
10522,129147,11560
10523,104408,8412
10524,106950,4223
10526,152058,2030
10527,147939,877
10528,120305,12200
10530,118258,12345
10532,122115,5097
10533,153223,7430
10535,75617,446
10536,162066,11363
10537,93555,2528
10538,157520,17185
10541,104751,25766
10543,94750,20940
10546,189618,1294
10547,104767,8755
10548,87886,3651
10549,103909,17262
10550,42169,37621
10552,80161,19834
10553,65780,11433
10560,142380,5127
10562,79649,32729
10566,58650,24389
10567,123751,20331
10570,139661,12672
10573,77538,39450
10576,189798,5483
10577,178951,6425
10578,127128,760
10579,100999,8786
10580,164464,18122
10583,178728,39052
10588,106424,2561
10589,107255,8774
10590,153188,6586
10591,92268,22972
10594,136040,5208
10595,114905,7607
10596,67733,2165
10597,178799,936
10598,126157,29481
10601,73639,11842
10603,94977,18395
10604,95573,11804
10605,117567,19451
10606,81310,17430
10607,122856,7784
10701,41578,64803
10703,61456,20913
10704,74798,30227
10705,45527,40629
10706,142527,8557
10707,104108,10346
10708,106471,22509
10709,106110,9237
10710,95530,26084
10801,66523,42585
10803,149026,12817
10804,174544,13931
10805,64350,18537
10901,95657,24468
10911,125000,19
10913,118436,5393
10916,112029,4632
10917,110036,2025
10918,96189,11897
10919,89063,962
10920,117721,8817
10921,99401,4385
10923,87303,9346
10924,91936,13672
10925,83583,4489
10926,84861,3417
10927,54715,13107
10928,89612,5907
10930,131261,9285
10931,83236,1066
10933,98590,323
10940,62766,50192
10941,74231,14130
10950,75737,51654
10952,55863,43210
10954,96863,24001
10956,128189,31834
10958,108075,3166
10960,89674,15412
10962,99281,6716
10963,82248,4274
10964,115741,1392
10965,105435,15489
10968,100139,2473
10969,108062,1309
10970,88995,10267
10973,104429,2149
10974,93097,3522
10975,101862,431
10976,93274,1899
10977,55916,65897
10979,,0
10980,100379,13334
10983,119218,5720
10984,112198,2625
10985,81817,167
10986,120515,2234
10987,97372,3232
10989,107502,9284
10990,97567,20594
10992,91038,9651
10993,68521,5272
10994,123048,7043
10996,109225,6272
10998,93472,4509
11001,106258,28527
11003,93886,41497
11004,94234,13278
11005,68328,3028
11010,106474,23967
11020,129359,5921
11021,101280,19125
11023,117449,8843
11024,104059,8036
11030,185026,18076
11040,121477,41645
11042,140424,562
11050,114993,31793
11096,51280,8479
11101,67397,31300
11102,62814,37437
11103,68350,38447
11104,64842,28384
11105,73000,37254
11106,64995,40449
11109,153087,4192
11201,127555,59099
11203,51028,78641
11204,53972,81769
11205,59458,46189
11206,38310,92501
11207,38531,102062
11208,41394,101530
11209,75006,69804
11210,67223,67066
11211,70316,67636
11212,32029,89400
11213,39507,66073
11214,56658,91396
11215,128854,67437
11216,56922,57343
11217,112294,36790
11218,67795,77699
11219,40275,94876
11220,43932,103155
11221,46062,87521
11222,89414,39471
11223,51601,81476
11224,34228,49552
11225,51918,59589
11226,50591,104782
11228,76627,42934
11229,61045,81574
11230,49879,83059
11231,101812,35578
11232,51658,30410
11233,39164,72857
11234,83716,89486
11235,50520,83786
11236,66097,96747
11237,56108,53234
11238,90097,53378
11239,33494,15200
11249,61515,35979
11251,87500,10
11252,96365,169
11354,50625,61494
11355,42726,88669
11356,67901,25482
11357,85403,41080
11358,73692,38894
11359,107656,123
11360,89596,19831
11361,89270,29784
11362,98473,19304
11363,99577,7438
11364,80852,36255
11365,67900,43609
11366,87120,14059
11367,64307,43751
11368,49005,119382
11369,58199,39005
11370,64885,30778
11371,,0
11372,57744,68289
11373,53683,107135
11374,62881,45953
11375,84235,72212
11377,57421,93171
11378,66173,36332
11379,80294,37305
11385,64510,102815
11411,90211,18454
11412,81360,35356
11413,89616,40338
11414,78531,27341
11415,73503,20878
11416,64555,26294
11417,70623,29815
11418,67953,38107
11419,63522,47705
11420,67892,46954
11421,69262,40991
11422,93454,32868
11423,70205,30228
11426,87621,19768
11427,75272,23567
11428,75056,19222
11429,79997,25570
11430,83221,193
11432,56848,64021
11433,48348,36157
11434,63705,62336
11435,60925,56154
11436,70721,18718
11439,52707,1835
11501,98769,19969
11507,130426,7284
11509,145178,2594
11510,101126,33729
11514,110968,4832
11516,99568,7814
11518,98371,10866
11520,76655,43645
11530,151589,28265
11542,78115,28576
11545,157760,13304
11547,144070,937
11548,143893,1329
11549,110487,1968
11550,61253,59290
11552,110493,24197
11553,77230,26386
11554,102096,38909
11557,138635,8211
11558,81311,8502
11559,114139,8590
11560,128135,6501
11561,98506,38105
11563,95981,22600
